facility_id,facility_type,facility_name,facility_lat,facility_lon,A1,A2,A3,A4,facility_phone,facility_email,facility_url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,facility_stops
10282,school,Escola Profissional Val do Rio (Pólo Cascais),38.710362,-9.400590,1,,,,214676007,,,"Rua do Douro, nº 3",2765-217 ESTORIL,Estoril,,,1105,Cascais,11,Lisboa,PT170,AML,"050373,050374,050375,050376"
10283,school,Escola Raiz,38.699097,-9.213862,1,,,,213042080,,,"Av. Torre de Belém, nº 30",1400-343 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060109,060119"
10284,school,"Escola Secundária Alfredo dos Reis Silveira, Cavadas, Seixal",38.619354,-9.097594,,,1,,212276360,,,Avenida 25 de Abril,2840-400 SEIXAL,Torre da Marinha,,,1510,Seixal,15,Setúbal,PT170,AML,"140319,140320,140321,140322"
10285,school,"Escola Secundária Alves Redol, Vila Franca de Xira",38.958336,-8.991778,,1,,,263200460,,,Encosta do Monte Gordo,2600-065 VILA FRANCA DE XIRA,Vila Franca de Xira,,,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,180595
10286,school,"Escola Secundária António Gedeão, Cova da Piedade, Almada",38.662212,-9.159555,,,1,,212509540,,,Alameda Guerra Junqueiro,2814-503 ALMADA,Laranjeiro,,,1503,Almada,15,Setúbal,PT170,AML,"020501,020502,020503,020504"
10287,school,"Escola Secundária Augusto Cabrita, Barreiro",38.657528,-9.057890,,,,1,212059220,,,Rua Maria Lamas - Alto do Seixalinho,2830-088 BARREIRO,Barreiro,,,1504,Barreiro,15,Setúbal,PT170,AML,"040003,040005,040006"
10288,school,"Escola Secundária Braamcamp Freire, Pontinha, Odivelas",38.768497,-9.202394,,1,,,214788440,,,R. Dr. Gama Barros,1679-002 PONTINHA,Pontinha,,,1116,Odivelas,11,Lisboa,PT170,AML,"110039,110041,110047,030811"
10289,school,"Escola Secundária Camilo Castelo Branco, Carnaxide, Oeiras",38.721670,-9.246240,1,,,,214254400,,,Rua Luz Veloso,2790-096 CARNAXIDE,Carnaxide,,,1110,Oeiras,11,Lisboa,PT170,AML,"120049,120050,120051,120095,120123,120417"
10290,school,"Escola Secundária D. João II, Setúbal",38.531307,-8.871853,,,,1,265708500,,,R. Dr. Luís Macedo e Castro,2914-510 SETÚBAL,Setúbal,,,1512,Setúbal,15,Setúbal,PT170,AML,"160021,160022,160023,160024,160025,160026,160193,160194,160215,160219,160220,160243,160245,160246,160275,160405"
10291,school,"Escola Secundária D. Pedro V, Lisboa",38.741990,-9.162224,1,,,,217246060,,,"Estrada das Laranjeiras, 122",1600-136 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060457,060458"
