fare_id,route_id
LONGA,3615_0
LONGA,3620_0
LONGA,3626_2
LONGA,3635_0
LONGA,3635_1
LONGA,3640_0
LONGA,3641_0
LONGA,3701_0
LONGA,3702_0
LONGA,3703_1
LONGA,3703_2
LONGA,3704_0
LONGA,3705_0
LONGA,3709_0
LONGA,3710_1
LONGA,3711_0
LONGA,3715_0
LONGA,3716_0
LONGA,3717_0
LONGA,3720_0
LONGA,3721_0
LONGA,4002_0
LONGA,4101_0
LONGA,4102_0
LONGA,4201_0
LONGA,4202_0
LONGA,4205_0
LONGA,4205_1
LONGA,4208_0
LONGA,4212_0
LONGA,4302_0
LONGA,4304_0
LONGA,4305_0
LONGA,4306_0
LONGA,4307_0
LONGA,4307_1
LONGA,4308_0
LONGA,4310_0
LONGA,4311_0
LONGA,4312_0
LONGA,4312_1
LONGA,4312_2
LONGA,4313_0
LONGA,4321_0
LONGA,4322_0
LONGA,4322_1
LONGA,4401_0
LONGA,4402_0
LONGA,4405_0
LONGA,4407_0
LONGA,4407_1
LONGA,4408_0
LONGA,4409_0
LONGA,4410_0
LONGA,4411_0
LONGA,4412_0
LONGA,4413_0
LONGA,4414_0
LONGA,4415_0
LONGA,4416_0
LONGA,4417_0
LONGA,4418_0
LONGA,4419_0
LONGA,4421_0
LONGA,4422_0
LONGA,4422_1
LONGA,4422_2
LONGA,4424_0
LONGA,4425_0
LONGA,4425_1
LONGA,4428_0
LONGA,4429_0
LONGA,4432_0
LONGA,4433_0
LONGA,4435_0
LONGA,4437_0
LONGA,4438_0
LONGA,4438_1
LONGA,4439_0
LONGA,4440_0
LONGA,4441_0
LONGA,4442_0
LONGA,4442_1
LONGA,4443_0
LONGA,4451_0
LONGA,4452_0
LONGA,4452_1
LONGA,4453_0
LONGA,4460_0
LONGA,4470_0
LONGA,4471_0
LONGA,4472_0
LONGA,4472_1
LONGA,4474_0
LONGA,4476_0
LONGA,4501_0
LONGA,4501_1
LONGA,4502_0
LONGA,4503_0
LONGA,4504_0
LONGA,4510_0
LONGA,4511_0
LONGA,4512_0
LONGA,4512_1
LONGA,4513_0
LONGA,4513_1
LONGA,4514_0
LONGA,4514_1
LONGA,4514_2
LONGA,4514_3
LONGA,4515_0
LONGA,4515_1
LONGA,4516_0
LONGA,4516_1
LONGA,4517_0
LONGA,4520_0
LONGA,4521_0
LONGA,4521_1
LONGA,4522_0
LONGA,4523_0
LONGA,4524_0
LONGA,4524_1
LONGA,4530_0
LONGA,4531_0
LONGA,4532_0
LONGA,4540_0
LONGA,4540_1
LONGA,4541_0
LONGA,4542_0
LONGA,4543_0
LONGA,4544_0
LONGA,4544_1
LONGA,4544_2
LONGA,4545_0
LONGA,4545_1
LONGA,4546_0
LONGA,4547_0
LONGA,4547_1
LONGA,4548_0
LONGA,4549_0
LONGA,4549_1
LONGA,4550_0
LONGA,4550_1
LONGA,4551_0
LONGA,4560_0
LONGA,4560_1
LONGA,4562_0
LONGA,4562_2
LONGA,4562_3
LONGA,4600_0
LONGA,4601_0
LONGA,4602_0
LONGA,4603_0
LONGA,4604_0
LONGA,4605_0
LONGA,4610_0
LONGA,4611_0
LONGA,4612_0
LONGA,4620_0
LONGA,4621_0
LONGA,4632_0
LONGA,4640_0
LONGA,4641_0
LONGA,4642_0
LONGA,4642_1
LONGA,4730_0
LONGA,4730_1
LONGA,4730_2
LONGA,4901_0
LONGA,4901_1
LONGA,4902_0
LONGA,4906_0
LONGA,4906_1
INTER-REGIONAL-A,2905_0
INTER-REGIONAL-A,2908_0
INTER-REGIONAL-A,2908_1
INTER-REGIONAL-A,2909_0
INTER-REGIONAL-A,2909_1
INTER-REGIONAL-A,2914_0
INTER-REGIONAL-A,2921_0
INTER-REGIONAL-A,2921_1
INTER-REGIONAL-B,4905_0
MAR,2650_0
MAR,2651_0
MAR,2652_0
MAR,2850_0
MAR,4643_0
PROXIMA,1008_0
PROXIMA,1009_C_0
PROXIMA,1012_C_0
PROXIMA,1015_C_0
PROXIMA,1109_C_0
PROXIMA,1120_0
PROXIMA,1124_C_0
PROXIMA,1201_C_0
PROXIMA,1204_2
PROXIMA,1204_C_0
PROXIMA,1204_C_1
PROXIMA,1205_0
PROXIMA,1210_0
PROXIMA,1216_C_0
PROXIMA,1221_0
PROXIMA,1222_C_0
PROXIMA,1226_0
PROXIMA,1229_C_0
PROXIMA,1230_0
PROXIMA,1252_C_0
PROXIMA,1252_C_1
PROXIMA,1501_C_0
PROXIMA,1510_0
PROXIMA,1511_C_0
PROXIMA,1513_1
PROXIMA,1513_C_0
PROXIMA,1513_C_2
PROXIMA,1513_C_3
PROXIMA,1513_C_4
PROXIMA,1524_0
PROXIMA,2004_0
PROXIMA,2006_0
PROXIMA,2006_1
PROXIMA,2006_2
PROXIMA,2008_0
PROXIMA,2016_0
PROXIMA,2016_1
PROXIMA,2020_0
PROXIMA,2020_1
PROXIMA,2026_0
PROXIMA,2029_0
PROXIMA,2030_0
PROXIMA,2031_0
PROXIMA,2031_1
PROXIMA,2033_0
PROXIMA,2034_0
PROXIMA,2036_0
PROXIMA,2036_1
PROXIMA,2124_0
PROXIMA,2125_0
PROXIMA,2125_1
PROXIMA,2126_0
PROXIMA,2142_0
PROXIMA,2142_1
PROXIMA,2142_2
PROXIMA,2204_0
PROXIMA,2212_0
PROXIMA,2220_0
PROXIMA,2220_2
PROXIMA,2220_3
PROXIMA,2222_0
PROXIMA,2305_0
PROXIMA,2318_0
PROXIMA,2318_1
PROXIMA,2318_2
PROXIMA,2319_0
PROXIMA,2319_1
PROXIMA,2322_0
PROXIMA,2323_0
PROXIMA,2323_1
PROXIMA,2331_0
PROXIMA,2331_1
PROXIMA,2333_0
PROXIMA,2334_0
PROXIMA,2335_0
PROXIMA,2335_1
PROXIMA,2630_0
PROXIMA,2630_1
PROXIMA,3001_0
PROXIMA,3026_0
PROXIMA,3026_1
PROXIMA,3101_0
PROXIMA,3107_0
PROXIMA,3107_1
PROXIMA,3108_0
PROXIMA,3112_0
PROXIMA,3113_0
PROXIMA,3121_0
PROXIMA,3218_2
PROXIMA,3220_1
PROXIMA,3222_0
PROXIMA,4001_0
PROXIMA,4103_0
PROXIMA,4104_0
PROXIMA,4203_0
PROXIMA,4203_1
PROXIMA,4204_0
PROXIMA,4206_0
PROXIMA,4207_0
PROXIMA,4207_1
PROXIMA,4207_2
PROXIMA,4211_0
PROXIMA,4301_0
PROXIMA,4303_0
PROXIMA,4320_0
PROXIMA,4403_0
PROXIMA,4404_0
PROXIMA,4406_0
PROXIMA,4406_1
PROXIMA,4420_0
PROXIMA,4423_0
PROXIMA,4426_0
PROXIMA,4426_1
PROXIMA,4426_2
PROXIMA,4426_3
PROXIMA,4426_4
PROXIMA,4427_0
PROXIMA,4430_0
PROXIMA,4431_0
PROXIMA,4434_0
PROXIMA,4434_1
PROXIMA,4436_0
RAPIDA,2740_0
RAPIDA,2740_1
RAPIDA,2740_2
RAPIDA,2741_0
RAPIDA,2741_1
RAPIDA,2742_0
RAPIDA,2744_0
RAPIDA,2746_0
RAPIDA,2801_0
RAPIDA,2801_1
RAPIDA,2801_2
RAPIDA,2802_0
RAPIDA,2803_0
RAPIDA,2803_1
RAPIDA,2804_0
RAPIDA,2804_1
RAPIDA,2805_0
RAPIDA,2806_0
RAPIDA,2807_0
RAPIDA,2900_0
RAPIDA,4701_0
RAPIDA,4701_1
RAPIDA,4702_0
RAPIDA,4703_0
RAPIDA,4704_0
RAPIDA,4705_0
RAPIDA,4706_0
RAPIDA,4707_0
RAPIDA,4710_0
RAPIDA,4711_0
RAPIDA,4715_0
RAPIDA,4720_0
RAPIDA,4725_0
